0,99,1,0
1,99,1,0
2,99,1,0
3,97,3,0
4,94,6,0
5,90,10,0
6,88,11,1
7,87,12,1
8,82,17,1
9,71,28,1
10,63,31,6
11,56,35,9
12,46,38,16
13,40,38,22
14,36,34,30
15,31,30,39
16,27,28,45
17,24,25,51
18,22,20,58
19,20,20,60
20,20,17,63
21,18,15,67
22,18,11,71
23,16,12,72
24,16,9,75
25,16,6,78
26,16,4,80
27,16,3,81
28,16,2,82
29,16,1,83
30,15,2,83
31,15,1,84
32,15,0,85
0,99,1,0
1,99,1,0
2,99,1,0
3,97,3,0
4,94,6,0
5,90,10,0
6,88,11,1
7,87,12,1
8,82,17,1
9,71,28,1
10,63,31,6
11,56,35,9
12,46,38,16
13,40,38,22
14,36,34,30
15,31,30,39
16,27,28,45
17,24,25,51
18,22,20,58
19,20,20,60
20,20,17,63
21,18,15,67
22,18,11,71
23,16,12,72
24,16,9,75
25,16,6,78
26,16,4,80
27,16,3,81
28,16,2,82
29,16,1,83
30,15,2,83
31,15,1,84
32,15,0,85
0,99,1,0
1,99,1,0
2,99,1,0
3,97,3,0
4,94,6,0
5,90,10,0
6,88,11,1
7,87,12,1
8,82,17,1
9,71,28,1
10,63,31,6
11,56,35,9
12,46,38,16
13,40,38,22
14,36,34,30
15,31,30,39
16,27,28,45
17,24,25,51
18,22,20,58
19,20,20,60
20,20,17,63
21,18,15,67
22,18,11,71
23,16,12,72
24,16,9,75
25,16,6,78
26,16,4,80
27,16,3,81
28,16,2,82
29,16,1,83
30,15,2,83
31,15,1,84
32,15,0,85
0,99,1,0
1,99,1,0
2,99,1,0
3,97,3,0
4,94,6,0
5,90,10,0
6,88,11,1
7,87,12,1
8,82,17,1
9,71,28,1
10,63,31,6
11,56,35,9
12,46,38,16
13,40,38,22
14,36,34,30
15,31,30,39
16,27,28,45
17,24,25,51
18,22,20,58
19,20,20,60
20,20,17,63
21,18,15,67
22,18,11,71
23,16,12,72
24,16,9,75
25,16,6,78
26,16,4,80
27,16,3,81
28,16,2,82
29,16,1,83
