0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
3,87,12,1
4,77,20,3
5,61,34,5
6,57,32,11
7,49,33,18
8,44,30,26
9,42,25,33
10,40,23,37
11,36,21,43
12,34,18,48
13,33,15,52
14,33,12,55
15,33,7,60
16,33,6,61
17,33,4,63
18,33,4,63
19,33,3,64
20,33,1,66
21,33,1,66
22,33,1,66
23,33,1,66
24,33,0,67
0,97,3,0
1,95,4,1
2,92,7,1
