0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
26,1,99
27,0,100
0,98,2
1,94,6
2,94,6
3,94,6
4,89,11
5,85,15
6,77,23
7,73,27
8,66,34
9,58,42
10,52,48
11,42,58
12,39,61
13,31,69
14,26,74
15,23,77
16,19,81
17,15,85
18,13,87
19,13,87
20,12,88
21,8,92
22,5,95
23,5,95
24,4,96
25,2,98
